id,common_name,scientific_name,family,habitat,conservation_status,description,image_url,audio_url
1,African Fish Eagle,Haliaeetus vocifer,Accipitridae,Lakes and rivers,Least Concern,Large eagle found near water bodies. Iconic call often used to represent Africa.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/African_fish_eagle%2C_Haliaeetus_vocifer%2C_at_Chobe_National_Park%2C_Botswana_%2833516612831%29.jpg/960px-African_fish_eagle%2C_Haliaeetus_vocifer%2C_at_Chobe_National_Park%2C_Botswana_%2833516612831%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
2,Hadada Ibis,Bostrychia hagedash,Threskiornithidae,Grasslands and gardens,Least Concern,Loud unmistakable call. Very common in Nairobi gardens and parks.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Ibis_hadada_%28Bostrychia_hagedash%29%2C_parque_nacional_de_Tarangire%2C_Tanzania%2C_2024-05-24%2C_DD_23.jpg/960px-Ibis_hadada_%28Bostrychia_hagedash%29%2C_parque_nacional_de_Tarangire%2C_Tanzania%2C_2024-05-24%2C_DD_23.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
3,Red-chested Cuckoo,Cuculus solitarius,Cuculidae,Forests and woodland edges,Least Concern,Famous three-note call. A sign of the rainy season in Kenya.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/024_Red-chested_cuckoo_at_Kibale_forest_National_Park_Photo_by_Giles_Laurent.jpg/960px-024_Red-chested_cuckoo_at_Kibale_forest_National_Park_Photo_by_Giles_Laurent.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
4,Pied Kingfisher,Ceryle rudis,Cerylidae,Rivers lakes and coastal areas,Least Concern,Black and white kingfisher. Hovers over water before diving.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Pied_kingfisher_%28Ceryle_rudis_leucomelanurus%29_male.jpg/960px-Pied_kingfisher_%28Ceryle_rudis_leucomelanurus%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
5,Black Kite,Milvus migrans,Accipitridae,Urban areas and open country,Least Concern,Most common raptor in Nairobi. Scavenger often seen near markets.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Schwarzmilan.jpg/960px-Schwarzmilan.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
6,African Grey Hornbill,Lophoceros nasutus,Bucerotidae,Dry woodland and savanna,Least Concern,Distinctive whining call. Common in Nairobi and dry areas.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/African_grey_hornbill_%28Tockus_nasutus_nasutus%29_male.jpg/960px-African_grey_hornbill_%28Tockus_nasutus_nasutus%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
7,Tropical Boubou,Laniarius aethiopicus,Malaconotidae,Gardens and forest edges,Least Concern,Pairs duet together. Common in Nairobi gardens.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tropical_Boubou%2C_Sakania%2C_DRC_%289436772164%29.jpg/960px-Tropical_Boubou%2C_Sakania%2C_DRC_%289436772164%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
8,Common Bulbul,Pycnonotus barbatus,Pycnonotidae,Gardens woodland and forest edges,Least Concern,One of the most common garden birds in Kenya. Cheerful song.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Common_bulbul_%28Pycnonotus_barbatus_barbatus%29.jpg/960px-Common_bulbul_%28Pycnonotus_barbatus_barbatus%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
9,Superb Starling,Lamprotornis superbus,Sturnidae,Savanna and open woodland,Least Concern,Stunning iridescent plumage. Very common in Nairobi and Maasai Mara.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Superb_Starling_Portrait.jpg/960px-Superb_Starling_Portrait.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
10,White-browed Robin-Chat,Cossypha heuglini,Muscicapidae,Gardens and forest edges,Least Concern,Beautiful melodious song. Common in Nairobi gardens at dawn.,https://upload.wikimedia.org/wikipedia/commons/e/ec/White-browed_Robin-Chat_%28Cossypha_heuglini%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
