id,common_name,scientific_name,family,habitat,conservation_status,description,image_url,audio_url
1,African Fish Eagle,Haliaeetus vocifer,Accipitridae,Lakes and rivers,Least Concern,Large eagle found near water bodies. Iconic call often used to represent Africa.,,,
2,Hadada Ibis,Bostrychia hagedash,Threskiornithidae,Grasslands and gardens,Least Concern,Loud unmistakable call. Very common in Nairobi gardens and parks.,,,
3,Red-chested Cuckoo,Cuculus solitarius,Cuculidae,Forests and woodland edges,Least Concern,Famous three-note call. A sign of the rainy season in Kenya.,,,
4,Pied Kingfisher,Ceryle rudis,Cerylidae,Rivers lakes and coastal areas,Least Concern,Black and white kingfisher. Hovers over water before diving.,,,
5,Black Kite,Milvus migrans,Accipitridae,Urban areas and open country,Least Concern,Most common raptor in Nairobi. Scavenger often seen near markets.,,,
6,African Grey Hornbill,Lophoceros nasutus,Bucerotidae,Dry woodland and savanna,Least Concern,Distinctive whining call. Common in Nairobi and dry areas.,,,
7,Tropical Boubou,Laniarius aethiopicus,Malaconotidae,Gardens and forest edges,Least Concern,Pairs duet together. Common in Nairobi gardens.,,,
8,Common Bulbul,Pycnonotus barbatus,Pycnonotidae,Gardens woodland and forest edges,Least Concern,One of the most common garden birds in Kenya. Cheerful song.,,,
9,Superb Starling,Lamprotornis superbus,Sturnidae,Savanna and open woodland,Least Concern,Stunning iridescent plumage. Very common in Nairobi and Maasai Mara.,,,
10,White-browed Robin-Chat,Cossypha heuglini,Muscicapidae,Gardens and forest edges,Least Concern,Beautiful melodious song. Common in Nairobi gardens at dawn.,,,
